62,0
62,48
70,0
70,48
69,0
69,192
67,0
67,96
65,0
65,48
64,0
64,24
62,0
62,24
63,0
63,192
62,0
62,96
61,0
61,48
62,0
62,24
64,0
64,24
62,0
62,192
64,0
64,96
65,0
65,48
57,0
57,48
67,0
67,192
65,0
65,48
64,0
64,48
65,0
65,24
67,0
67,24
69,0
69,96
67,0
67,48
65,0
65,48
74,0
74,48
67,0
67,48
76,0
76,48
69,0
69,48
77,0
77,48
71,0
71,48
74,0
74,48
72,0
72,48
70,0
70,48
79,0
79,48
70,0
70,48
69,0
69,24
75,0
75,24
74,0
74,96
72,0
72,48
70,0
70,48
79,0
79,48
72,0
72,48
81,0
81,48
74,0
74,48
82,0
82,48
76,0
76,48
79,0
79,48
77,0
77,48
75,0
75,48
84,0
84,48
75,0
75,48
74,0
74,48
62,0
62,96
64,0
64,48
65,0
65,48
69,0
69,48
74,0
74,48
77,0
77,48
67,0
67,48
76,0
76,48
65,0
65,48
74,0
74,48
64,0
64,48
73,0
73,48
74,0
74,48
76,0
76,48
69,0
69,48
74,0
74,24
72,0
72,24
70,0
70,48
69,0
69,48
67,0
67,48
79,0
79,24
77,0
77,24
76,0
76,48
74,0
74,48
73,0
73,48
76,0
76,24
74,0
74,24
72,0
72,48
71,0
71,48
69,0
69,48
81,0
81,24
79,0
79,24
77,0
77,24
76,0
76,24
74,0
74,24
73,0
73,24
74,0
74,96
62,96
62,48
70,0
70,96
69,0
69,24
67,0
67,24
69,0
69,24
65,0
65,24
62,0
62,96
64,0
64,24
65,0
65,24
67,0
67,24
64,0
64,24
61,0
61,96
62,0
62,24
64,0
64,24
65,0
65,24
64,0
64,24
62,0
62,96
74,0
74,48
75,0
75,48
76,0
76,48
77,0
77,48
78,0
78,48
79,0
79,48
80,0
80,48
81,0
81,48
82,0
82,96
81,0
81,24
79,0
79,24
81,0
81,48
76,0
76,48
77,0
77,24
76,0
76,24
74,0
74,96
72,0
72,24
71,0
71,24
72,0
72,48
77,0
77,96
76,0
76,24
74,0
74,24
76,0
76,24
72,0
72,24
69,0
69,96
71,0
71,24
72,0
72,24
74,0
74,24
71,0
71,24
68,0
68,96
69,0
69,24
71,0
71,24
72,0
72,24
71,0
71,24
69,0
69,96
57,0
57,48
58,0
58,48
59,0
59,48
60,0
60,48
61,0
61,48
62,0
62,48
63,0
63,48
64,0
64,48
65,0
65,96
64,0
64,24
62,0
62,24
64,0
64,48
59,0
59,48
60,0
60,24
59,0
